Time;Temperature;Humidity;Pressure
2022-04-29 14:00:00;20.1;53;1011.4
2022-04-29 11:00:00;15.7;70;1012.1
2022-04-29 08:00:00;9.5;92;1011.3
2022-04-29 05:00:00;9;91;1011.4
2022-04-29 02:00:00;11.2;86;1011.8
2022-04-28 23:00:00;13.9;78;1011.5
2022-04-28 20:00:00;18.2;61;1010.2
2022-04-28 17:00:00;18.7;59;1009.5
2022-04-28 14:00:00;17.8;58;1009.4
2022-04-28 11:00:00;14.6;70;1008.9
2022-04-28 08:00:00;10.2;82;1007.2
2022-04-28 05:00:00;10.7;78;1005.9
2022-04-28 02:00:00;12;71;1005.9
2022-04-27 23:00:00;14.6;59;1005.3
2022-04-27 20:00:00;17.7;44;1003.9
2022-04-27 17:00:00;19.4;40;1003.4
2022-04-27 14:00:00;18.2;47;1004.2
2022-04-27 11:00:00;14.6;59;1004.5
2022-04-27 08:00:00;8.9;78;1003.8
2022-04-27 05:00:00;8.8;75;1003.7
2022-04-27 02:00:00;10;69;1003.9
2022-04-26 23:00:00;11.8;65;1003.5
2022-04-26 20:00:00;16;50;1002.2
2022-04-26 17:00:00;17.4;48;1002.4
2022-04-26 14:00:00;15.2;56;1003.3
2022-04-26 11:00:00;11.8;84;1003.2
2022-04-26 08:00:00;5.6;99;1002
2022-04-26 05:00:00;5.3;99;1001
2022-04-26 02:00:00;7.2;98;1000.8
2022-04-25 23:00:00;10.8;96;1000.4
2022-04-25 20:00:00;12.7;88;999.2
2022-04-25 17:00:00;11.7;94;999.1
2022-04-25 14:00:00;16.1;74;998.2
2022-04-25 11:00:00;12.6;90;998
2022-04-25 08:00:00;11.1;96;997
2022-04-25 05:00:00;11.2;94;996.4
2022-04-25 02:00:00;11.2;96;996.7
