Time;Temperature;Humidity;Pressure
2022-04-29 14:00:00;21.4;52.9;1014.65
2022-04-29 11:00:00;16.9;68.3;1016.08
2022-04-29 08:00:00;12.4;91.4;1019.7
2022-04-29 05:00:00;11.9;89.5;1019.46
2022-04-29 02:00:00;13;86.5;1015.25
2022-04-28 23:00:00;15.8;76.8;1020.19
2022-04-28 20:00:00;19.1;61.9;1019.94
2022-04-28 17:00:00;18.7;58;1011.13
2022-04-28 14:00:00;18.1;58.7;1017.98
2022-04-28 11:00:00;16;69.2;1017.16
2022-04-28 08:00:00;11.5;81.5;1012.56
2022-04-28 05:00:00;10.2;78.5;1008.18
2022-04-28 02:00:00;12.9;70.3;1010.18
2022-04-27 23:00:00;15;58.3;1005.99
2022-04-27 20:00:00;17;44.6;1010.2
2022-04-27 17:00:00;20.1;38.1;1009.34
2022-04-27 14:00:00;18.5;47.5;1013.9
2022-04-27 11:00:00;14.6;59.4;1013.31
2022-04-27 08:00:00;11.4;76.7;1007.06
2022-04-27 05:00:00;10.7;74.6;1012.31
2022-04-27 02:00:00;9.4;68.3;1007.07
2022-04-26 23:00:00;12.6;63.4;1013.32
2022-04-26 20:00:00;15.1;48.3;1002.77
2022-04-26 17:00:00;17.9;46.8;1008.8
2022-04-26 14:00:00;15.2;54.8;1004.87
2022-04-26 11:00:00;11.8;84.3;1003.87
2022-04-26 08:00:00;8.5;97.7;1006.45
2022-04-26 05:00:00;6;99.7;1001.68
2022-04-26 02:00:00;8;97.3;1008.62
2022-04-25 23:00:00;13.1;95;1004.64
2022-04-25 20:00:00;14.5;87.5;1007.3
2022-04-25 17:00:00;13.6;94.9;999.17
2022-04-25 14:00:00;18.9;72.4;1008.05
2022-04-25 11:00:00;12.5;88.5;998.37
2022-04-25 08:00:00;11.5;95.3;1005.82
2022-04-25 05:00:00;14.1;92.3;999
2022-04-25 02:00:00;11.4;95.2;1003.97
