Time;Temperature;Humidity;Pressure
2022-05-07 23:00:00;16.2;61.0;991.0
2022-05-07 20:00:00;21.0;41.0;989.5
2022-05-07 17:00:00;21.8;41.0;990.0
2022-05-07 14:00:00;20.6;44.0;991.7
2022-05-07 11:00:00;16.4;64.0;993.2
2022-05-07 08:00:00;8.1;92.0;992.9
2022-05-07 05:00:00;7.2;92.0;992.3
2022-05-07 02:00:00;9.8;85.0;993.2
2022-05-06 23:00:00;15.1;62.0;993.5
2022-05-06 20:00:00;19.5;46.0;992.1
2022-05-06 17:00:00;19.4;45.0;992.0
2022-05-06 14:00:00;19.2;50.0;993.0
2022-05-06 11:00:00;15.6;66.0;993.6
2022-05-06 08:00:00;7.3;91.0;993.7
2022-05-06 05:00:00;7.3;85.0;992.9
2022-05-06 02:00:00;10.6;72.0;993.5
2022-05-05 23:00:00;13.3;62.0;993.5
2022-05-05 20:00:00;17.2;50.0;991.6
2022-05-05 17:00:00;19.3;42.0;991.3
2022-05-05 14:00:00;19.0;43.0;992.1
2022-05-05 11:00:00;16.0;59.0;992.4
2022-05-05 08:00:00;10.9;84.0;991.4
2022-05-05 05:00:00;11.2;82.0;990.3
2022-05-05 02:00:00;12.4;73.0;990.6
2022-05-04 23:00:00;13.8;63.0;990.2
2022-05-04 20:00:00;17.9;46.0;987.7
2022-05-04 17:00:00;19.5;54.0;987.6
2022-05-04 14:00:00;17.8;66.0;988.7
2022-05-04 11:00:00;15.0;83.0;988.6
2022-05-04 08:00:00;11.1;96.0;987.7
2022-05-04 05:00:00;10.7;95.0;987.4
2022-05-04 02:00:00;11.5;93.0;987.1
2022-05-03 23:00:00;12.0;93.0;987.1
2022-05-03 20:00:00;12.8;89.0;984.9
2022-05-03 17:00:00;21.0;49.0;983.5
2022-05-03 14:00:00;18.4;66.0;985.0
2022-05-03 11:00:00;13.3;81.0;985.3
2022-05-03 08:00:00;10.8;87.0;984.0
2022-05-03 05:00:00;10.9;83.0;983.3
2022-05-03 02:00:00;12.5;70.0;983.5
2022-05-02 23:00:00;15.0;60.0;983.4
2022-05-02 20:00:00;19.0;40.0;982.6
2022-05-02 17:00:00;19.8;35.0;982.8
2022-05-02 14:00:00;19.2;42.0;983.9
2022-05-02 11:00:00;15.0;60.0;984.8
2022-05-02 08:00:00;7.5;89.0;984.6
2022-05-02 05:00:00;6.9;87.0;984.7
2022-05-02 02:00:00;10.1;76.0;985.8
