Time;Temperature;Humidity;Pressure
2022-05-07 23:00:00;15.5;61.6;993.3
2022-05-07 20:00:00;23.2;41.5;994.1
2022-05-07 17:00:00;24.2;40.1;992.85
2022-05-07 14:00:00;23.5;42.0;994.66
2022-05-07 11:00:00;19.2;63.0;997.12
2022-05-07 08:00:00;7.2;92.6;997.28
2022-05-07 05:00:00;9.6;91.8;1000.65
2022-05-07 02:00:00;10.4;83.7;999.83
2022-05-06 23:00:00;14.6;61.6;994.3
2022-05-06 20:00:00;22.4;45.1;992.19
2022-05-06 17:00:00;19.5;44.7;995.41
2022-05-06 14:00:00;20.7;48.6;1001.49
2022-05-06 11:00:00;16.6;66.9;1002.48
2022-05-06 08:00:00;7.8;90.5;999.27
2022-05-06 05:00:00;9.6;85.9;998.47
2022-05-06 02:00:00;11.6;71.9;1002.78
2022-05-05 23:00:00;16.1;60.9;999.18
2022-05-05 20:00:00;19.0;49.8;994.58
2022-05-05 17:00:00;19.7;42.5;992.51
2022-05-05 14:00:00;20.4;41.1;998.11
2022-05-05 11:00:00;18.1;57.7;992.75
2022-05-05 08:00:00;11.3;84.2;994.9
2022-05-05 05:00:00;11.4;80.5;990.34
2022-05-05 02:00:00;12.3;72.1;999.69
2022-05-04 23:00:00;14.8;62.8;992.97
2022-05-04 20:00:00;19.0;44.9;995.73
2022-05-04 17:00:00;21.7;52.3;996.12
2022-05-04 14:00:00;17.5;64.7;991.28
2022-05-04 11:00:00;14.2;82.6;990.65
2022-05-04 08:00:00;12.7;96.0;988.82
2022-05-04 05:00:00;12.3;95.9;992.79
2022-05-04 02:00:00;10.6;93.4;993.98
2022-05-03 23:00:00;11.1;91.0;991.09
2022-05-03 20:00:00;13.0;89.0;987.94
2022-05-03 17:00:00;21.5;48.5;986.14
2022-05-03 14:00:00;19.6;64.4;991.92
2022-05-03 11:00:00;13.7;80.0;985.31
2022-05-03 08:00:00;13.2;86.4;985.43
2022-05-03 05:00:00;12.8;83.8;988.63
2022-05-03 02:00:00;13.9;70.4;991.59
2022-05-02 23:00:00;17.7;58.6;992.31
2022-05-02 20:00:00;20.1;39.6;992.12
2022-05-02 17:00:00;20.8;33.4;989.96
2022-05-02 14:00:00;20.1;40.3;986.25
2022-05-02 11:00:00;17.9;60.7;993.71
2022-05-02 08:00:00;10.0;87.2;992.63
2022-05-02 05:00:00;9.7;86.7;988.68
2022-05-02 02:00:00;9.3;76.7;995.51
